,t1,t2,rel
4341,structural health monitoring,shm,synonym
4342,shm,structural health monitoring,synonym
4343,general relativity,gr,synonym
4344,gr,general relativity,synonym
4345,information architecture,ia,synonym
4346,ia,information architecture,synonym
4347,ia,inspection authorization,synonym
4348,differential optical absorption spectroscopy,doas,synonym
4349,doas,differential optical absorption spectroscopy,synonym
4350,staff instruction,si,synonym
4351,scripting language processor,slp,synonym
4352,slp,scripting language processor,synonym
4353,tube,foreground,synonym
4354,foreground,tube,synonym
4355,faa flight standards district office,fsdo,synonym
4356,universal control system,ucs,synonym
4357,ucs,universal control system,synonym
4358,portable computing devices,smart phones,ancestor
4359,fault tolerant flight control system,ftfcs,synonym
4360,ftfcs,fault tolerant flight control system,synonym
4361,defence procurement agency,dga,synonym
4362,dga,defence procurement agency,synonym
4363,check points,cps,synonym
4364,cps,check points,synonym
4365,cps,constrained position shifting,synonym
4366,cps,cyber physical systems,synonym
4367,fuzzy logic,neural network,sibling
4368,fuzzy logic,artificial neural networks,sibling
4369,symposium nasa technical reports server,ntrs,synonym
4370,accenture federal services,afs,synonym
4371,afs,accenture federal services,synonym
4372,afs,flight standards service,synonym
4373,faa perspective nasa technical reports server,ntrs,synonym
4374,performance based logistics,pbl,synonym
4375,pbl,performance based logistics,synonym
4376,national research council,nrc,synonym
4377,national research council,istc cnr,synonym
4378,national research council,cnr,synonym
4379,north carolina state highway patrol,ncshp,synonym
4380,ncshp,north carolina state highway patrol,synonym
4381,reflectance unmanned aerial vehicle,uav,synonym
4382,binary robust invariant scalable keypoints,brisk,synonym
4383,brisk,binary robust invariant scalable keypoints,synonym
4384,japan aeronautic association,jaa,synonym
4385,jaa,japan aeronautic association,synonym
4386,jaa,joint aviation authorities,synonym
4387,jaa,joint aviation authority,synonym
4388,jaa,joint airworthiness authorities,synonym
4389,internal crew training system,icts,synonym
4390,icts,internal crew training system,synonym
4391,methane reforming rate,mrr,synonym
4392,mrr,methane reforming rate,synonym
4393,nationally recognized testing laboratory,nrtl,synonym
4394,nrtl,nationally recognized testing laboratory,synonym
4395,north china craton,ncc,synonym
4396,ncc,north china craton,synonym
4397,ncc,national constitution center,synonym
4398,sliding mode control,smc,synonym
4399,smc,sliding mode control,synonym
4400,national training center,ntc,synonym
4401,ntc,national training center,synonym
4402,choppers chengdu aircraft industry corporation,cac,synonym
4403,cac,choppers chengdu aircraft industry corporation,synonym
4404,cac,common access card,synonym
4405,spacecraft control language,scl,synonym
4406,parasitic mites,varroa destructor,synonym
4407,varroa destructor,parasitic mites,synonym
4408,package delivery drone unmanned aerial systems,uas,synonym
4409,quadrature phase shift keying,qpsk,synonym
4410,qpsk,quadrature phase shift keying,synonym
4411,common name,cn,synonym
4412,cn,common name,synonym
4413,cn,core network,synonym
4414,vdos global,us,synonym
4415,internet assigned numbers authority,iana,synonym
4416,iana,internet assigned numbers authority,synonym
4417,rss measurements nasa astrophysics data system,ads,synonym
4418,bus trans msg,flow mo1,synonym
4419,flow mo1,bus trans msg,synonym
4420,long term evolution,lte,synonym
4421,unmanned systems research institute,du2sri,synonym
4422,du2sri,unmanned systems research institute,synonym
4423,adopting unmanned aerial systems,uas,synonym
4424,civil aeromedical institute,cami,synonym
4425,software communications architecture,sca,synonym
4426,sca,software communications architecture,synonym
4427,internation space station,iss,synonym
4428,southern africa,cuaasa,synonym
4429,security requirements guide,srg,synonym
4430,srg,security requirements guide,synonym
4431,optical automatic car identification,oaci,synonym
4432,oaci,optical automatic car identification,synonym
4433,underwater photography,large format,sibling
4434,large format,underwater photography,sibling
4435,mpc,model predictive control,synonym
4436,mpc,muon piston calorimeter,synonym
4437,pakistan aeronautical complex paramount group,ate,synonym
4438,ate,pakistan aeronautical complex paramount group,synonym
4439,force protection,perimeter security,sibling
4440,perimeter security,force protection,sibling
4441,autonomous drone systems,ads,synonym
4442,remote split operations,rso,synonym
4443,rso,remote split operations,synonym
4444,business intelligence,project management,sibling
4445,business intelligence,bi,synonym
4446,short range,sr,synonym
4447,business development,government relations,sibling
4448,business development,strategic partnership,sibling
4449,business development,project management,sibling
4450,business development,professional services,ancestor
4451,government relations,business development,sibling
4452,drone manufacturers alliance europe,dmae,synonym
4453,dmae,drone manufacturers alliance europe,synonym
4454,national full scale aerodynamics complex,nfac,synonym
4455,nfac,national full scale aerodynamics complex,synonym
4456,private companies,project wing,ancestor
4457,project wing,anra technologies,sibling
4458,strong technical,r&d,sibling
4459,r&d,strong technical,sibling
4460,r&d,field operations,sibling
4461,r&d,systems engineering,sibling
4462,suavs,small unmanned aerial vehicles,synonym
4463,suavs,unmanned aerial vehicles,synonym
4464,automatic scheduling and planning,asap,synonym
4465,asap,automatic scheduling and planning,synonym
4466,asap,foqa,sibling
4467,asap,aviation weather products,synonym
4468,asap,losa,sibling
4469,asap,aviation safety action program,synonym
4470,inversion svr,svr,synonym
4471,radiative budget,remote sensing,sibling
4472,pillows nasa technical reports server,ntrs,synonym
4473,scale uavs nasa astrophysics data system,ads,synonym
4474,management console,hal,synonym
4475,hal,management console,synonym
4476,read more drone delivery canada,ddc,synonym
4477,ddc,read more drone delivery canada,synonym
4478,ddc,drone delivery canada,synonym
4479,gust wind formula,gwf,synonym
4480,gwf,gust wind formula,synonym
4481,kain fritsch,kf,synonym
4482,kf,kain fritsch,synonym
4483,forested areas,narrow paths,sibling
4484,narrow paths,forested areas,sibling
4485,multimedia home platform,mhp,synonym
4486,mhp,multimedia home platform,synonym
4487,line replaceable unit,lru,synonym
4488,lru,line replaceable unit,synonym
4489,catholic relief services,crs,synonym
4490,qgroundcontrol,mavlink,sibling
4491,qgroundcontrol,ground control station,synonym
4492,acquisition management system,ams,synonym
4493,radio controlled,rc,synonym
4494,radio controlled,autonomously flown,sibling
4495,risk mitigation maneuvers,rmm,synonym
4496,rmm,risk mitigation maneuvers,synonym
4497,digital terrain models,dtm,synonym
4498,digital terrain models,dtms,synonym
4499,common avionics architecture system,caas,synonym
4500,caas,common avionics architecture system,synonym
4501,caas,civil aviation authorities,synonym
4502,uas operators,private sector stakeholders,ancestor
4503,uas operators,faa,sibling
4504,uas operators,private sector,ancestor
4505,standards and recommended practices,sarps,synonym
4506,sarps,standards and recommended practices,synonym
4507,ground level,"1,300 feet",synonym
4508,"1,300 feet",ground level,synonym
4509,cooperative vehicle intersection control,cvic,synonym
4510,cvic,cooperative vehicle intersection control,synonym
4511,faa airworthiness assurance ndi validation center,aanc,synonym
4512,controlled flight into terrain,cfit,synonym
4513,cfit,controlled flight into terrain,synonym
4514,post entry amendment,pea,synonym
4515,pea,post entry amendment,synonym
4516,ambassador bridge border crossing system,abbcs,synonym
4517,abbcs,ambassador bridge border crossing system,synonym
4518,integrated technology demonstrations,itds,synonym
4519,itds,integrated technology demonstrations,synonym
4520,naval undersea warfare center,nuwc,synonym
4521,nuwc,naval undersea warfare center,synonym
4522,direct mapping solution,dms,synonym
4523,dms,direct mapping solution,synonym
4524,standard operating procedure,sop,synonym
4525,sop,standard operating procedure,synonym
4526,remote controlled,rc,synonym
4527,remote controlled,toy guns,sibling
4528,coordinated ramp metering,crm,synonym
4529,lightning initiation,li,synonym
4530,model grant agreements,mga,synonym
4531,mga,model grant agreements,synonym
4532,royal air force,raf,synonym
4533,raf,royal air force,synonym
4534,maximum take off weight,mtow,synonym
4535,mtow,maximum take off weight,synonym
4536,mtow,maximum takeoff weight,synonym
4537,unmanned combat air vehicle,ucav,synonym
4538,air transport division,dca,synonym
4539,inspection authorization,ia,synonym
4540,manned aircraft,fixed wing aircraft,ancestor
4541,fixed wing aircraft,manned helicopters,sibling
4542,fixed wing aircraft,unmanned aircraft systems,sibling
4543,improvised explosive device,ied,synonym
4544,improvised explosive device,counter ied,synonym
4545,ied,improvised explosive device,synonym
4546,ita data acquisition,daq,synonym
4547,daq,ita data acquisition,synonym
4548,daq,data acquisition,synonym
4549,vtol uavs nasa astrophysics data system,ads,synonym
4550,ground control lines,gcls,synonym
4551,gcls,ground control lines,synonym
4552,eastern range,er,synonym
4553,oil spill,natural resources,ancestor
4554,compact disc,cd,synonym
4555,thermal imager,ti,synonym
4556,introducing soda nasa technical reports server,ntrs,synonym
4557,transport canada,tc,synonym
4558,tc,transport canada,synonym
4559,tc,caicos islands,synonym
4560,tc,times correlation,synonym
4561,tc,technical committee,synonym
4562,astronomical units,au,synonym
4563,au,astronomical units,synonym
4564,au,allocation unit,synonym
4565,electric ducted fans,edf,synonym
4566,edf,electric ducted fans,synonym
4567,professional grade,diy,sibling
4568,gdot,inspecting bridges,ancestor
4569,inspecting bridges,gas flares,sibling
4570,model driven engineering,mde,synonym
4571,mde,model driven engineering,synonym
4572,composite materials nasa technical reports server,ntrs,synonym
4573,electric vehicle,ev,synonym
4574,ev,electric vehicle,synonym
4575,field testing package,ftp,synonym
4576,federal data corporation,fdc,synonym
4577,fdc,federal data corporation,synonym
4578,fdc,flight data center,synonym
4579,unmanned little bird,ulb,synonym
4580,ulb,unmanned little bird,synonym
4581,lightning risk assessment model,lram,synonym
4582,lram,lightning risk assessment model,synonym
4583,robotic systems,ugvs,synonym
4584,automated uav mission system,aums,synonym
4585,aums,automated uav mission system,synonym
4586,avionics systems,flight control systems,ancestor
4587,cosmic microwave background,cmb,synonym
4588,cmb,cosmic microwave background,synonym
4589,common data link,cdl,synonym
4590,cdl,common data link,synonym
4591,civil rights,civil liberties,sibling
4592,civil liberties,civil rights,sibling
4593,micro electro mechanical,mem,synonym
4594,mem,micro electro mechanical,synonym
4595,limited aviation weather reporting stations,lawrs,synonym
4596,lawrs,limited aviation weather reporting stations,synonym
4597,complex event processing,cep,synonym
4598,cep,complex event processing,synonym
4599,standing review board,srb,synonym
4600,srb,standing review board,synonym
4601,internet information server,iis,synonym
4602,acas xu,unmanned aircraft,synonym
4603,springfield beckley municipal airport,ksgh,synonym
4604,ksgh,springfield beckley municipal airport,synonym
4605,small uas rating,small drone license,synonym
4606,small drone license,small uas rating,synonym
4607,public key infrastructure,pki,synonym
4608,pki,public key infrastructure,synonym
4609,live streaming,fpv,sibling
4610,video streaming,video feeds,ancestor
4611,certified architect,open ca,synonym
4612,open ca,certified architect,synonym
4613,common criteria,disa,sibling
4614,common criteria,cc,synonym
4615,disa,common criteria,sibling
4616,membrane electrode assembly,mea,synonym
4617,mea,membrane electrode assembly,synonym
4618,fbi criminal justice information services,cjis,synonym
4619,cjis,fbi criminal justice information services,synonym
4620,remote procedure call,rpc,synonym
4621,rpc,remote procedure call,synonym
4622,rpc,remote pilot certification,synonym
4623,one system ground control station,osgcs,synonym
4624,osgcs,one system ground control station,synonym
4625,aes,fips,sibling
4626,aes,automated export system,synonym
4627,aes,advanced encryption standard,synonym
4628,aes,agricultural extension services,synonym
4629,local binary pattern,lbp,synonym
4630,lbp,local binary pattern,synonym
4631,lbp,low back pain,synonym
4632,global assembly cache,gac,synonym
4633,gac,global assembly cache,synonym
4634,medlineplus thunderstorms space weather sun,ultraviolet radiation,synonym
4635,ultraviolet radiation,medlineplus thunderstorms space weather sun,synonym
4636,auds brochure,pdf,synonym
4637,data management plan,dmp,synonym
4638,dmp,data management plan,synonym
4639,drone brood,multiple infestation,sibling
4640,multiple infestation,drone brood,sibling
4641,micro uavs,micro unmanned aerial vehicles,synonym
4642,micro uavs,unmanned aerial vehicles,synonym
4643,emergency communication system,ecs,synonym
4644,ecs,emergency communication system,synonym
4645,ecs,electronic commerce server,synonym
4646,personal digital assistant,pda,synonym
4647,pda,personal digital assistant,synonym
4648,federal security service,fsb,synonym
4649,fsb,federal security service,synonym
4650,control augmentation system,cas,synonym
4651,portable storage,hard drives,ancestor
4652,hard drives,cell phones,sibling
4653,support vector regression,svr,synonym
4654,full flight simulator,ffs,synonym
4655,ffs,full flight simulator,synonym
4656,digital video broadcasting,dvb,synonym
4657,dvb,digital video broadcasting,synonym
4658,north dakota university system,ndus,synonym
4659,ndus,north dakota university system,synonym
4660,plain old clr objects,poco,synonym
4661,poco,plain old clr objects,synonym
4662,integrated path dial,ipda,synonym
4663,ipda,integrated path dial,synonym
4664,uas operations,uav,sibling
4665,uas operations,disaster relief,ancestor
4666,uas operations,precision agriculture,ancestor
4667,equatorial electrojet,eej,synonym
4668,eej,equatorial electrojet,synonym
4669,herbert hoover dike,hhd,synonym
4670,hhd,herbert hoover dike,synonym
4671,public entities,law enforcement agencies,ancestor
4672,law enforcement agencies,local police,ancestor
4673,federal acquisition regulation,far,synonym
4674,automated demand response,auto dr,synonym
4675,auto dr,automated demand response,synonym
4676,auto dr,demand response,synonym
4677,situational awareness,sa,synonym
4678,situational awareness,threat detection,sibling
4679,situational awareness,aeronautical decision making,sibling
4680,situational awareness,search and rescue,sibling
4681,query store catalog views,transact sql,synonym
4682,raytheon company,us,synonym
4683,bovine serum albumin,bsa,synonym
4684,bsa,bovine serum albumin,synonym
4685,space shuttle nasa technical reports server,ntrs,synonym
4686,medium range,mr,synonym
4687,mr,medium range,synonym
4688,mr,mixed reality,synonym
4689,cold climate heat pump,cchp,synonym
4690,cchp,cold climate heat pump,synonym
4691,sub continental lithospheric mantle,sclm,synonym
4692,sclm,sub continental lithospheric mantle,synonym
4693,runtime application self protection,rasp,synonym
4694,rasp,runtime application self protection,synonym
4695,whipple detachment fault,wdf,synonym
4696,wdf,whipple detachment fault,synonym
4697,route reconnaissance,vehicle tracking,sibling
4698,data acquisition,control system,sibling
4699,data acquisition,daq,synonym
4700,npm package,umd,synonym
4701,intelligent vehicles,ivs,synonym
4702,ivs,intelligent vehicles,synonym
4703,business information modeling,bim,synonym
4704,unmanned aerospace vehicle,uav,synonym
4705,improved cockroach swarm optimization,icso,synonym
4706,icso,improved cockroach swarm optimization,synonym
4707,offensive swarm enabled tactics,offset,synonym
4708,offset,offensive swarm enabled tactics,synonym
4709,square miles,"100,000 km2",synonym
4710,"100,000 km2",square miles,synonym
4711,remotely piloted aircrafts,rpas,synonym
4712,remotely piloted aircrafts,rpa,synonym
4713,markov chain monte carlo,mcmc,synonym
4714,mcmc,markov chain monte carlo,synonym
4715,web mapping service,wms,synonym
4716,wms,web mapping service,synonym
4717,system integrator,si,synonym
4718,pilot in command,pic,synonym
4719,pic,pilot in command,synonym
4720,peak ground accelerations,pgas,synonym
4721,pgas,peak ground accelerations,synonym
4722,domain specific software architecture,dssa,synonym
4723,dssa,domain specific software architecture,synonym
4724,korean air korean air aerospace division,asd,synonym
4725,asd,korean air korean air aerospace division,synonym
4726,extended endurance,stalker xe,synonym
4727,stalker xe,extended endurance,synonym
4728,inspecting cell towers,wind turbines,sibling
4729,wind turbines,inspecting cell towers,sibling
4730,wind turbines,offshore oil rigs,sibling
4731,intelligent mission management,imm,synonym
4732,imm,intelligent mission management,synonym
4733,landentwicklung baden württemberg,lgl bw,synonym
4734,lgl bw,landentwicklung baden württemberg,synonym
4735,java management extensions,jmx,synonym
4736,jmx,java management extensions,synonym
4737,standard terminal automation replacement system,stars,synonym
4738,stars,standard terminal automation replacement system,synonym
4739,quadratic program,qp,synonym
4740,mvs,multi view stereo,synonym
4741,sams,radar detection,sibling
4742,radar detection,sams,sibling
4743,airspace databases nasa technical reports server,ntrs,synonym
4744,ali,air land integration,synonym
4745,air land integration,ali,synonym
4746,national aviation authority,naa,synonym
4747,naa,national aviation authority,synonym
4748,ground source heat pumps,gshp,synonym
4749,gshp,ground source heat pumps,synonym
4750,protective breathing equipment,pbe,synonym
4751,pbe,protective breathing equipment,synonym
4752,unscented kalman filter,ukf,synonym
4753,ukf,unscented kalman filter,synonym
4754,sioux falls,usf,synonym
4755,usf,sioux falls,synonym
4756,usf,unmanned solutions forum,synonym
4757,gopro owner,ready to fly,synonym
4758,small commercial drone unmanned aerial systems,uas,synonym
4759,ship based tactically exploited reconnaissance node,tern,synonym
4760,exploration systems development,esd,synonym
4761,esd,exploration systems development,synonym
4762,esd,electrostatic discharge,synonym
4763,ground vehicle nasa technical reports server,ntrs,synonym
4764,aka remotely piloted aircraft,rpa,synonym
4765,close range,cr,synonym
4766,cr,close range,synonym
4767,cr,climb rate,synonym
4768,cr,costa rica,synonym
4769,model view controller,mvc,synonym
4770,mvc,model view controller,synonym
4771,mvc,mvp,sibling
4772,mvc,mvvm,sibling
4773,ttl,cmos,sibling
4774,cmos,ttl,sibling
4775,homeland defense,hd,synonym
4776,ice protection systems,ips,synonym
4777,ips,ice protection systems,synonym
4778,low intensity conflicts,urban warfare,sibling
4779,urban warfare,low intensity conflicts,sibling
4780,red green blue,rgb,synonym
4781,modular electronics compartment,mec,synonym
4782,mec,modular electronics compartment,synonym
4783,wireless sensor network,wsn,synonym
4784,wsn,wireless sensor network,synonym
4785,distributed temperature sensing,dts,synonym
4786,dts,distributed temperature sensing,synonym
4787,xi'an aisheng,asn,synonym
4788,geospatial information systems,emergency response,sibling
4789,geospatial information systems,gis,synonym
4790,ct,coin,sibling
4791,ct,computed tomography,synonym
4792,ct,counter terrorism,synonym
4793,direction of arrival,doa,synonym
4794,doa,direction of arrival,synonym
4795,government printing office,gpo,synonym
4796,gpo,government printing office,synonym
4797,army rapid capabilities office,rco,synonym
4798,rco,army rapid capabilities office,synonym
4799,electronic control unit,ecu,synonym
4800,ecu,electronic control unit,synonym
4801,ecu,environmental control unit,synonym
4802,electromagnetic effects harmonization working group,eehwg,synonym
4803,eehwg,electromagnetic effects harmonization working group,synonym
4804,capital area innovative farmers,caif,synonym
4805,caif,capital area innovative farmers,synonym
4806,japan schedule coordination,jsc,synonym
4807,jsc,japan schedule coordination,synonym
4808,health information exchanges,hies,synonym
4809,hies,health information exchanges,synonym
4810,tucson international airport,tus,synonym
4811,tus,tucson international airport,synonym
4812,intensive observation periods,iops,synonym
4813,iops,intensive observation periods,synonym
4814,connected vehicle,cv,synonym
4815,starting point,home point,synonym
4816,home point,starting point,synonym
4817,naval surface warfare center,nswc,synonym
4818,nswc,naval surface warfare center,synonym
4819,aeronautical knowledge test,akt,synonym
4820,akt,aeronautical knowledge test,synonym
4821,avoidance systems,tcas,synonym
4822,joint direct attack munition,jdam,synonym
4823,jdam,joint direct attack munition,synonym
4824,department of transportation federal aviation administration,faa,synonym
4825,static application security testing,sast,synonym
4826,sast,static application security testing,synonym
4827,multi spectral cameras,stereo cameras,sibling
4828,stereo cameras,multi spectral cameras,sibling
4829,royal canadian air force,rcaf,synonym
4830,rcaf,royal canadian air force,synonym
4831,precision relnav,rtk,synonym
4832,backup ram,sram,synonym
4833,sram,backup ram,synonym
4834,sram,static random access memory,synonym
4835,pseudomonas avellanae,pav,synonym
4836,digital terrestrial television,dtt,synonym
4837,dtt,digital terrestrial television,synonym
4838,joint test,jt,synonym
4839,jt,joint test,synonym
4840,certified flight instructor,cfi,synonym
4841,army intelligence,air force,sibling
4842,android studio,developer tools,ancestor
4843,lunar water resources demonstration,lwrd,synonym
4844,lwrd,lunar water resources demonstration,synonym
4845,forward thinking,industry leaders,sibling
4846,keck interferometer,ki,synonym
4847,ki,keck interferometer,synonym
4848,industry insiders,uav,sibling
4849,slr,straight leg raise,synonym
4850,slr,satellite laser ranging,synonym
4851,current injection,environmental testing,sibling
4852,environmental testing,current injection,sibling
4853,airframe structural components,advanced composite materials,ancestor
4854,airframe structural components,multifunctional materials,ancestor
4855,advanced composite materials,carbon fiber,ancestor
4856,advanced composite materials,multifunctional materials,sibling
4857,shuttle space vehicle,ssv,synonym
4858,ssv,shuttle space vehicle,synonym
4859,defense contractors,lockheed martin,ancestor
4860,defense contractors,northrop grumman,ancestor
4861,characteristic curves,roc,synonym
4862,roc,characteristic curves,synonym
4863,roc,operating certificate,synonym
4864,visual positioning system,vps,synonym
4865,drop size distribution,dsd,synonym
4866,dsd,drop size distribution,synonym
4867,chip scale atomic clock,csac,synonym
4868,csac,chip scale atomic clock,synonym
4869,police surveillance,aerial photography,sibling
4870,police surveillance,land surveying,sibling
4871,intel realsense collision avoidance,4k camera,sibling
4872,intel realsense collision avoidance,gps,sibling
4873,qatar national research fund,qnrf,synonym
4874,qnrf,qatar national research fund,synonym
4875,linear fractional transformation,lft,synonym
4876,lft,linear fractional transformation,synonym
4877,non destructive inspection,ultrasonic inspection,ancestor
4878,non destructive inspection,dye penetrant,ancestor
4879,non destructive inspection,ndi,synonym
4880,non destructive inspection,magnetic particle,ancestor
4881,non destructive inspection,eddy current,ancestor
4882,ultrasonic inspection,magnetic particle,sibling
4883,ultrasonic inspection,dye penetrant,sibling
4884,ultrasonic inspection,eddy current,sibling
4885,silicon on insulator,soi,synonym
4886,soi,silicon on insulator,synonym
4887,drone makers,dji,ancestor
4888,internet content rating association,icra,synonym
4889,icra,internet content rating association,synonym
4890,mail f1 f2,list,synonym
4891,list,mail f1 f2,synonym
4892,most significant bit,msb,synonym
4893,msb,most significant bit,synonym
4894,msb,most significant byte,synonym
4895,global air navigation plan,ganp,synonym
4896,ganp,global air navigation plan,synonym
4897,gray seals,yoy,sibling
4898,yoy,gray seals,sibling
4899,fiscal years,fy,synonym
4900,segmentation fault,core dumped,synonym
4901,core dumped,segmentation fault,synonym
4902,advanced technologies,artificial intelligence,ancestor
4903,soc,iso,sibling
4904,soc,system on chip,synonym
4905,soc,pci,sibling
4906,soc,hipaa,sibling
4907,society of aerial cinematography,soac,synonym
4908,soac,society of aerial cinematography,synonym
4909,transaction processing,tp,synonym
4910,transaction processing,message brokering,sibling
4911,tp,transaction processing,synonym
4912,model view update,mvu,synonym
4913,mvu,model view update,synonym
4914,better world fund,bwf,synonym
4915,bwf,better world fund,synonym
4916,memorandum of understanding,mou,synonym
4917,mou,memorandum of understanding,synonym
4918,solid state lighting,ssl,synonym
4919,ssl,solid state lighting,synonym
4920,ssl,tcp,sibling
4921,ssl,secure socket layer,synonym
4922,ssl,solid state lidars,synonym
4923,ssl,secure sockets layer,synonym
4924,treasury enterprise architecture framework,teaf,synonym
4925,teaf,treasury enterprise architecture framework,synonym
4926,information exchange,autonomous drones,synonym
4927,autonomous drones,information exchange,synonym
4928,mobile phones,text messaging,sibling
4929,mobile phones,electric cars,sibling
4930,mobile phones,consumer electronics,sibling
4931,text messaging,mobile phones,sibling
4932,text messaging,service provider,synonym
4933,text messaging,digital conferences,sibling
4934,acoustic doppler current profiler,adcp,synonym
4935,adcp,acoustic doppler current profiler,synonym
4936,mesoscale lightning experiment,mle,synonym
4937,mle,mesoscale lightning experiment,synonym
4938,south china block,scb,synonym
4939,scb,south china block,synonym
4940,scb,source capture,synonym
4941,model aircraft,small drones,sibling
4942,model aircraft,unmanned aircraft,synonym
4943,model aircraft,small uas,synonym
4944,model aircraft,faa,sibling
4945,model aircraft,remotely piloted aircraft,sibling
4946,partial dynamical symmetry,pds,synonym
4947,pds,partial dynamical symmetry,synonym
4948,pds,performance data source,synonym
4949,most significant byte,msb,synonym
4950,electric optical,eo,synonym
4951,urban beat cop,ubc,synonym
4952,ubc,urban beat cop,synonym
4953,sudbury igneous complex,sic,synonym
4954,sic,sudbury igneous complex,synonym
4955,scanning electron microscopy,sem,synonym
4956,sem,scanning electron microscopy,synonym
4957,alert rule,general characteristics,ancestor
4958,lans,wans,sibling
4959,wans,lans,sibling
4960,wans,wide area networks,synonym
4961,idaho national laboratory,inl,synonym
4962,inl,idaho national laboratory,synonym
4963,electronic ldentification tag,elt,synonym
4964,elt,electronic ldentification tag,synonym
4965,elt,emergency locating transmitters,synonym
4966,elt,emergency locator transmitter,synonym
4967,federal aviation adminstration,faa,synonym
4968,pseudotachylitic breccia,ptb,synonym
4969,ptb,pseudotachylitic breccia,synonym
4970,durable frame,headless mode,sibling
4971,durable frame,powerful motors,sibling
4972,headless mode,durable frame,sibling
4973,headless mode,powerful motors,sibling
4974,critical success index,csi,synonym
4975,csi,critical success index,synonym
4976,dryden flight research center,dfrc,synonym
4977,dfrc,dryden flight research center,synonym
4978,ground sensor management unit,gsmu,synonym
4979,gsmu,ground sensor management unit,synonym
4980,command line interface,xml based,sibling
4981,command line interface,cli,synonym
4982,xml based,command line interface,sibling
4983,disease monitoring,precision spraying,sibling
4984,disease monitoring,crop scouting,sibling
4985,precision spraying,disease monitoring,sibling
4986,precision spraying,crop scouting,sibling
4987,auxiliary power unit,apu,synonym
4988,apu,auxiliary power unit,synonym
4989,presentation tier,web server,synonym
4990,web server,presentation tier,synonym
4991,web server,gis server,sibling
4992,administrative law judge,alj,synonym
4993,alj,administrative law judge,synonym
4994,tectonic earthquake swarms,tes,synonym
4995,tes,tectonic earthquake swarms,synonym
4996,tes,transition edge sensors,synonym
4997,maximal steady state power,mssp,synonym
4998,mssp,maximal steady state power,synonym
4999,agricultural surveys,search and rescue,sibling
5000,agricultural surveys,package deliveries,sibling
5001,agricultural surveys,forest management,sibling
5002,smart materials,mems,sibling
5003,airborne early warning,aew,synonym
5004,aew,airborne early warning,synonym
5005,butcher ridge igneous complex,bric,synonym
5006,bric,butcher ridge igneous complex,synonym
5007,safety oversight,small uas,ancestor
5008,safety oversight,gao identified,ancestor
5009,maintenance resource management,mrm,synonym
5010,mrm,maintenance resource management,synonym
5011,mrm,medium range mobile,synonym
5012,type certificate data sheet,tcds,synonym
5013,tcds,type certificate data sheet,synonym
5014,instrument proficiency check,ipc,synonym
5015,normal difference vegetation index,ndvi,synonym
5016,general civil aviation authority,gcaa,synonym
5017,gcaa,general civil aviation authority,synonym
5018,battery elimination circuit,bec,synonym
5019,floating car data,fcd,synonym
5020,fcd,floating car data,synonym
5021,news feeds,content syndication,sibling
5022,news feeds,extended presence,sibling
5023,content syndication,news feeds,sibling
5024,content syndication,extended presence,sibling
5025,operating systems,oss,synonym
5026,operating systems,os,synonym
5027,oss,operating systems,synonym
5028,oss,open source software,synonym
5029,oss,obstacle sensing system,synonym
5030,advisory rulemaking committee,arc,synonym
5031,technical work plan,twp,synonym
5032,twp,technical work plan,synonym
5033,civil engineers,ice,synonym
5034,civil engineers,land surveyors,sibling
5035,civil engineers,asce,synonym
5036,ice,civil engineers,synonym
5037,ice,internal combustion engine,synonym
5038,ice,border patrol,sibling
5039,vapor injection,vi,synonym
5040,vi,vapor injection,synonym
5041,vi,virtual interface,synonym
5042,vi,us,synonym
5043,strike slip,reverse fault,sibling
5044,reverse fault,strike slip,sibling
5045,decentralized model predictive control,dmpc,synonym
5046,dmpc,decentralized model predictive control,synonym
5047,dslr cameras,propeller guards,sibling
5048,propeller guards,dslr cameras,sibling
5049,field operations device drivers,fodds,synonym
5050,fodds,field operations device drivers,synonym
5051,fodds,device drivers,synonym
5052,crop scouting,disease monitoring,sibling
5053,crop scouting,precision spraying,sibling
5054,switchblade suav,small unmanned aircraft system,synonym
5055,toy guns,remote controlled,sibling
5056,intelligent aerospace radio team,iart,synonym
5057,iart,intelligent aerospace radio team,synonym
5058,system on chip,soc,synonym
5059,technology exploration unit,teu,synonym
5060,teu,technology exploration unit,synonym
5061,bituminous coal,natural gas,sibling
5062,bituminous coal,subbituminous coal,sibling
5063,natural gas,bituminous coal,sibling
5064,natural gas,subbituminous coal,sibling
5065,privacy concerns,federal regulations,sibling
5066,reduce risk,lower costs,sibling
5067,lower costs,reduce risk,sibling
5068,aircraft landing dynamics facility,aldf,synonym
5069,aldf,aircraft landing dynamics facility,synonym
5070,independence transportation center,itc,synonym
5071,itc,independence transportation center,synonym
5072,computed tomography,ct,synonym
5073,maximum passive extension,mpe,synonym
5074,mpe,maximum passive extension,synonym
5075,dbmss,erp,sibling
5076,dbmss,database management systems,synonym
5077,risk management,program management,sibling
5078,risk management,rpas,ancestor
5079,risk management,sora,synonym
5080,program management,risk management,sibling
5081,mobile network operator,mno,synonym
5082,mno,mobile network operator,synonym
5083,humanitarian policy group,hpg,synonym
5084,hpg,humanitarian policy group,synonym
5085,agile model driven development,amdd,synonym
5086,amdd,agile model driven development,synonym
5087,application program interface,api,synonym
5088,dji spark,wingsland s6,sibling
