RELATION,LEFTTERM,RIGHTTERM,COUNT
ancestor,red hat products,red hat enterprise linux,1
synonym,special weapons and tactics,SWAT,1
synonym,korean radiation exposure assessment model,KREAM,1
sibling,business analysts,project managers,1
synonym,flight plan request,FPR,1
synonym,south carolina aeronautics commission,SCAC,1
sibling,RTF,HTML,1
sibling,current consumption,battery voltage,1
ancestor,external media,floppy disks,1
synonym,pilot support package,PSP,1
sibling,magnetic particle,ultrasonic inspection,1
sibling,foldable wing,rotary wing,1
synonym,local user terminals,LUTs,1
sibling,homeland security,department of defense,1
sibling,XML,SQL,1
synonym,alternating current,AC,1
synonym,IOT,internet of things,1
synonym,active aerodynamic devices,AADs,1
synonym,stuas recovery system,SRS,1
ancestor,government entities,british aerospace,1
ancestor,IR,visibility measurements,1
ancestor,survey techniques,laser scanning,1
ancestor,instant messaging,text messaging,1
ancestor,management decisions,variable rate,1
synonym,pilot error accidents,CPE,1
synonym,flight control,PX4,1
sibling,TCP,SSL,1
sibling,continuous variables,chi square,1
ancestor,poor weather conditions,high winds,1
synonym,protection regulation,GDPR,1
synonym,open source software,OSS,1
sibling,fully secured,high speed,1
synonym,high field strength elements,HFSE,1
synonym,change detection,CCD,1
synonym,national interagency aviation council,NIAC,1
synonym,command control centers,CCCs,1
synonym,unmanned ground systems,UGS,1
synonym,united industrial corporation,UIC,1
synonym,certified crop advisers,CCAs,1
synonym,river basin,PRB,1
ancestor,animal groups,bird flocks,1
synonym,object oriented technology in aviation,OOTiA,1
synonym,charged coupled devices,CCD,1
sibling,aerial photography,drone journalism,1
synonym,ground data terminals,GDT,1
sibling,application specific,standard cots,1
ancestor,mobile networks,mtn irancell,1
synonym,unmanned air systems,UASs,1
sibling,R&D,systems engineering,1
ancestor,$250,flight planning,1
synonym,earth ground clamp,EGC,1
synonym,unmanned underwater vehicle,lbs uuv,1
sibling,amphibious assault,dock landing,1
synonym,composite particles,pso cp,1
synonym,on special category aircraft,OSCA,1
sibling,collision warning,autonomous emergency braking,1
synonym,maximum takeoff weight,MTOW,1
ancestor,resource intensive,financial modeling,1
sibling,IMU,IP43,1
synonym,wireless sensor networks,WSNs,1
sibling,US,british intelligence,1
synonym,civil aviation regulation,CAR,1
synonym,certificate of airworthiness,restricted category,1
synonym,worldwide slot guidelines,WSG,1
synonym,peaceful valley donkey rescue,PVDR,1
sibling,X4S,X5S,1
sibling,number plate recognition,object counting,1
synonym,department of commerce,DOC,1
ancestor,mission payloads,EW,1
ancestor,al qa’ida,terrorist groups,1
synonym,world war ii,WWII,1
synonym,improvised explosive device,counter ied,1
synonym,return to launch,RTL,1
synonym,salvador city,bahia state,1
sibling,data collection,systems engineering,1
synonym,municipal airport,SMO,1
synonym,wide area motion imagery,WAMI,1
sibling,command line tools,IDE,1
sibling,radio frequency,gps jamming,1
sibling,flight training,simulator training,1
synonym,digital electronic engine control,DEEC,1
synonym,mean time between failures,MTBF,1
synonym,web processing service,WPS,1
synonym,standard query language,SQL,1
synonym,EMR,electronic medical records,1
synonym,highly accelerated stress screening,HASS,1
ancestor,disruptive technologies,machine learning,1
synonym,TCL,technology capability level,1
ancestor,radio systems,cellular phones,1
ancestor,tv camera,high tech,1
synonym,massachusetts emergency management agency,MEMA,1
ancestor,disparate applications,web based,1
synonym,field operational tests,FOTs,1
synonym,adaptive cockroach swarm optimization,ACSO,1
synonym,national disaster management center,NDMC,1
synonym,project management committees,PMCs,1
ancestor,action sports,BMX,1
synonym,SDN,software defined networks,1
synonym,multi role fighter,MRF,1
synonym,web application firewall,WAF,1
synonym,toe touch,TT,1
synonym,sentera camera control protocol,SCCP,1
synonym,woman owned small business,WOSB,1
synonym,primary industries,DPI,1
ancestor,developer technologies,mobile sdk,1
synonym,naval research laboratory,NRL,1
ancestor,energy sources,fuel cells,1
sibling,amazon prime air,DJI,1
synonym,oregon state university,OSU,1
synonym,naval special warfare,NSW,1
sibling,piston engines,turbine engines,1
synonym,bills of material,BOM,1
synonym,sock dgram,UDP,1
synonym,content delivery network,CDN,1
synonym,gnu radio companion,GRC,1
synonym,program global area,PGA,1
synonym,missile technology control regime,MTCR,1
synonym,FST,field sobriety test,1
synonym,china international battery fair,CIBF,1
ancestor,operational restrictions,air space,1
synonym,obstacle sensing system,OSS,1
synonym,departments of transportation,DOT,1
synonym,public key enabled,PKE,1
sibling,foldable wing,multi rotor,1
synonym,key management service,KMS,1
sibling,RF,gps jamming,1
sibling,drone operations,traffic management,1
synonym,emulsified zero valent irontm,EZVI,1
synonym,kenyan defense forces,KDF,1
sibling,Cámara,david garlan,1
synonym,times correlation,TC,1
sibling,autonomous systems,machine vision,1
sibling,architectural software,home design,1
sibling,counterinsurgency operations,hunter killer,1
synonym,command and surveillance payload avionics,CASPA,1
synonym,research center,PARC,1
synonym,airborne ground surveillance,AGS,1
synonym,swarm initial field model,SIFM,1
synonym,proof of concept,POC,1
synonym,liquid water content,LWC,1
synonym,slow slip events,SSEs,1
synonym,earth networks total lightning networks,ENTLN,1
synonym,korea aerospace industries,KAI,1
ancestor,confidential information,credit card numbers,1
synonym,biological combat assessment system,BCAS,1
synonym,personal data notification,PDN,1
ancestor,militant leaders,baitullah mehsud,1
synonym,XHR,XMLHttpRequest,1
ancestor,$55.65,free shipping,1
synonym,body angular rates,IMU,1
synonym,defense advanced research projects agency,Darpa,1
synonym,measurement computing corp,MCC,1
ancestor,civil aviation,unmanned aircraft systems,1
synonym,beyond light of sight,BLOS,1
synonym,hazard index,Hin,1
synonym,circuit board,PCB,1
synonym,quartic force field,QFF,1
synonym,oracle fusion middleware 11g,FMw,1
synonym,acute watery diarrhea,AWD,1
synonym,individual pitch control,IPC,1
synonym,federal emergency management agency,FEMA,1
synonym,electronic image stabilization,EIS,1
synonym,robotic nursing assistant,RNA,1
synonym,single document interface,SDI,1
sibling,drone technology,laser scanners,1
synonym,client drive mapping,CDM,1
synonym,network operations center,NOC,1
synonym,robotics internet of things,RIoT,1
synonym,false alarm rate,FAR,1
synonym,traffic management advisor,TMA,1
synonym,aircraft systems,UASs,1
synonym,SFOC,special flight operations certificate,1
synonym,height above terrain,HAT,1
synonym,advanced development programs,skunk works,1
synonym,long duration exposure facility,LDEF,1
ancestor,user groups,AOPA,1
synonym,software quality assurance,SQA,1
ancestor,output formats,PDF,1
synonym,operating system,RTOS,1
synonym,product development teams,PDT,1
synonym,integrated mission management computer,IMMC,1
ancestor,non destructive inspection,dye penetrant,1
synonym,universal access transceivers,UATs,1
sibling,subbituminous coal,natural gas,1
synonym,import address table,IAT,1
synonym,special flight operations certificates,SFOC,1
synonym,remotely operated aerial vehicle,ROAV,1
synonym,hidden lakes mafic complex,HLMC,1
synonym,visual range,EVLOS,1
synonym,digital advertising alliance,DAA,1
sibling,privacy advocates,UAS,1
synonym,extended range multi purpose,ERMP,1
synonym,replicate product categories,material groups,1
ancestor,payload capabilities,high definition imaging,1
synonym,sensor management unit,SMU,1
synonym,professional capacity building,PCB,1
sibling,text message,online chat,1
synonym,hobby manufacturers association,HMA,1
sibling,bae systems,cranfield university,1
ancestor,national airspace system,detect and avoid,1
sibling,RF,wireless communication,1
synonym,recuperative reformer,RR,1
ancestor,industry partners,ITE,1
synonym,south carolina,"$9,100",1
synonym,positive pressure relief valve,PPRV,1
synonym,san joaquin valley business unit,SJVBU,1
ancestor,ready to fly,xiro xplorer mini,1
synonym,queen mandibular pheromone,QMP,1
synonym,air navigation service,ANS,1
synonym,DD,COMPLETENESS,1
synonym,HMI,human machine interface,1
synonym,shuttle radar terrain map,SRTM,1
ancestor,complex scenarios,multiple drones simultaneously,1
synonym,loitering munitions,LM,1
synonym,flight mode,MOD,1
synonym,high energy laser,HEL,1
synonym,burkina faso,BF,1
sibling,low altitude authorization,notification capability,1
synonym,APAS,advanced pilot assistance systems,1
synonym,superconducting gravimeter,SG,1
synonym,infrastructure as a service,IaaS,1
ancestor,multiple flight modes,flight planning,1
ancestor,common threats,ISIS,1
synonym,gas chromatography,GC,1
synonym,design assurance level,DAL,1
sibling,FAA,AMA,1
ancestor,health outcomes,fuel levels,1
synonym,indefinite quantity,IDIQ,1
ancestor,law professor,civil liberties,1
synonym,dallas fort worth,DFW,1
ancestor,US,puerto rico,1
ancestor,speech recognition,noise cancellation,1
ancestor,commercial operations,aerial imagery,1
synonym,unmanned aerial systems,UAV,1
synonym,recuperator reformer,RR,1
ancestor,special topics,low level,1
synonym,remote pilot certification,UAG,1
synonym,screen content coding,SCC,1
ancestor,multithreaded applications,web services,1
sibling,web based,rich client,1
sibling,DJI,aerial media,1
ancestor,digital intelligence,image recognition,1
synonym,self heating effect,SHE,1
synonym,ANTS,autonomous nano technology swarm,1
synonym,lethal miniature aerial missile system,LMAMS,1
sibling,REE,trace element,1
synonym,aeronautical information circular,AIC,1
synonym,unmanned operator permit,UOP,1
synonym,intelligent middleware,IMW,1
synonym,unmanned influence sweep system,UISS,1
sibling,jumping night,jumping race,1
ancestor,operating system,UNIX,1
sibling,subbituminous coal,bituminous coal,1
synonym,drone delivery canada,DDC,1
sibling,FLEX,GWT,1
synonym,transiting exoplanet survey satellite,TESS,1
synonym,cannon air force base,AFB,1
synonym,indefinite delivery indefinite quantity,IDIQ,1
ancestor,natural phenomenon,volcanic eruptions,1
synonym,american samoa,AS,1
synonym,delayed data maintenance,DDM,1
synonym,internal combustion engine,ICE,1
ancestor,machine vision,object detection,1
synonym,metropolitan area network,MAN,1
sibling,weather forecasting,package delivery,1
synonym,intelligent controller,IC,1
ancestor,drone technology,gps tracking,1
synonym,active traffic management,ATM,1
sibling,ground control stations,electro optical,1
sibling,SQL,XQuery,1
synonym,overarching properties,OP,1
synonym,punjab national bank,PNB,1
sibling,barricade situations,fatal accidents,1
sibling,CAN,API,1
synonym,line operational safety audits,LOSA,1
synonym,NTSB,national transportation safety board,1
ancestor,flue gas,bituminous coal,1
synonym,product office,gray eagle,1
sibling,law enforcement,emergency management,1
ancestor,uas operators,private sector,1
synonym,short wave infrared,SWIR,1
synonym,physically based,HDR,1
ancestor,GPS,satellite systems,1
ancestor,common threats,al qaeda,1
sibling,greater flexibility,combat capability,1
synonym,multi volume occupancy grid,MVOG,1
synonym,rapid technology transition,RTT,1
sibling,serial port,udp connections,1
ancestor,regulatory actions,mitigation measures,1
synonym,nation safe drivers,NSD,1
synonym,OUTPUT,policy accept,1
synonym,software product compatibility reports,SPCR,1
synonym,interface definition language,IDL,1
synonym,air sports federation,CAF,1
synonym,polycyclic aromatic hydrocarbon,PAH,1
synonym,infra red,IR,1
synonym,globally distributed development,GDD,1
synonym,navy sea systems command,NAVSEA,1
synonym,mission planning section,MPS,1
synonym,3rd party,homeland security,1
synonym,optical image stabilization,OIS,1
synonym,separate target illumination radar,STIR,1
synonym,high speed telemetry module,HSTM,1
sibling,forest fires,volcanic eruptions,1
synonym,defense contract audit agency,DCAA,1
synonym,civil aviation administration,CAAC,1
sibling,SQL,ODBC,1
sibling,official tracks,tiny whoop,1
synonym,microsystems technology office,MTO,1
synonym,geographical information systems,GIS,1
synonym,CORBA,common object request broker architecture,1
ancestor,humanitarian efforts,disaster relief,1
synonym,rhode island,URI,1
sibling,flight control,safety critical,1
synonym,full authority digital engine control,FADEC,1
synonym,technical experimentation,TE,1
synonym,circle of interest,COI,1
ancestor,large cap,lockheed martin,1
synonym,fault tolerant,FT,1
ancestor,mission sets,electronic warfare,1
synonym,consumer product safety commission,CPSC,1
synonym,pigment emulsified creosote,PEC,1
synonym,hadriaca patera,HP,1
synonym,new york city drone user group,NYCDUG,1
synonym,nautical mile,NM,1
synonym,non destructive inspection,NDI,1
sibling,PCI,SOC,1
sibling,radio controlled aircraft,radio controlled helicopters,1
sibling,low power,high performance,1
synonym,joint feasibility study,JFS,1
sibling,solar cells,hydrogen based,1
synonym,agricultural management practices,AMP,1
synonym,small scale,large area,1
synonym,vertical take off landing,VTOL,1
sibling,BLK,GRN,1
synonym,MVP,model view presenter,1
sibling,IT,cloud services,1
synonym,camera gimbal,S.BUS,1
sibling,ground forces,air defense,1
sibling,blighter surveillance systems,enterprise control systems,1
synonym,unmanned systems,UMS,1
ancestor,tactical operations,JTAC,1
synonym,instrument landing system,ILS,1
synonym,CAA,civil aviation authority,1
sibling,flight paths,restricted airspace,1
synonym,unmanned vehicle systems international,AUSVI,1
sibling,expression filter,rules manager,1
synonym,building information modelling,BIM,1
sibling,LGPL,GPL,1
synonym,central weather processor,CWP,1
sibling,data exploitation,mission planning,1
synonym,foreign military sales,FMS,1
synonym,canadian aviation regulatory committee,CARC,1
synonym,combined air operations center,CAOC,1
ancestor,natural hazards,severe weather,1
synonym,serial clock,SCL,1
ancestor,al qaeda linked groups,al qaeda,1
synonym,SAR,search and rescue,1
synonym,pilot operating handbook,POH,1
synonym,air traffic control specialist,ATCS,1
synonym,based ground control station,GCS,1
ancestor,low altitude airspace,flying cars,1
sibling,land surveying,search and rescue,1
synonym,ICAO,international civil aviation organisation,1
synonym,joint aviation authorities,JAA,1
synonym,quality of experience,QoE,1
synonym,characterization borehole,CB,1
synonym,unmanned aerial systems,BS,1
ancestor,sheet metal,major repairs,1
synonym,particle image velocimetry,PIV,1
sibling,virtual reality,laser scanners,1
sibling,ISTAR,UAV,1
synonym,mediterranean control association,MCA,1
synonym,saudi arabian national guard,SANG,1
synonym,operators certificate,OC,1
sibling,GPS,intel realsense collision avoidance,1
synonym,remote sensing,IJRS,1
synonym,kilo bytes,KB,1
synonym,back arc basin,BAB,1
synonym,cognitive work analysis,CWA,1
synonym,early operational capability,EOC,1
synonym,puerto rico,PR,1
ancestor,industrial applications,tower inspection,1
sibling,dedicated technical,editorial team,1
synonym,climb rate,CR,1
synonym,aircraft monitoring unit,AMU,1
sibling,CMMS,ERP,1
synonym,graphical user interfaces,GUIs,1
synonym,phased array weather radar,PAWR,1
synonym,geoid slope validation survey,GSVS,1
ancestor,educational efforts,cell phone,1
synonym,battlefield air targeting micro air vehicle,BATMAV,1
synonym,day of launch,DOL,1
sibling,fixed wing,vertical takeoff,1
synonym,long range reconnaissance,LRRS,1
ancestor,body posture,body arching,1
sibling,routing calls,retrieving messages,1
sibling,multi mission,payload flexibility,1
synonym,high efficiency urinal,HEU,1
synonym,master information block,MIB,1
ancestor,field emission,chemical vapor deposited,1
sibling,virtual reality,drone technology,1
synonym,blue force tracking,BFT,1
synonym,united services automobile association,USAA,1
sibling,autonomous flight,beyond line of sight,1
sibling,performance based navigation,air traffic flow management,1
ancestor,risk management,RPAS,1
ancestor,public safety departments,large companies,1
synonym,remote micro imager,RMI,1
synonym,aerial photography,AP,1
ancestor,indian government,disaster management,1
synonym,military occupational specialty,MOS,1
synonym,particle measuring systems,PMS,1
sibling,sense and avoid,geo fencing,1
synonym,information management system,SIS,1
ancestor,fishing gear,ocean debris,1
sibling,issuing commands,receiving responses,1
sibling,law enforcement,and energy,1
synonym,perfect forward secrecy,PFS,1
synonym,republic of korea navy,ROKN,1
synonym,public safety,DPS,1
ancestor,investigative reports,releasable documents,1
synonym,heidelberg retinal tomography,HRT,1
synonym,oriented bounding box,OBB,1
synonym,defense advanced research project agency,DARPA,1
synonym,model view viewmodel,MVVM,1
synonym,and technology readiness assessment,ATRA,1
sibling,performance based navigation,aeronautical information management,1
synonym,storage area network,SAN,1
sibling,DJI,epson moverio,1
ancestor,FAA,partner organizations,1
synonym,international frequency sensor association,IFSA,1
synonym,world wide web consortium,W3C,1
ancestor,vice president,public figures,1
sibling,tv voting,product promotions,1
synonym,low back pain,LBP,1
synonym,national climate assessment,NCA,1
synonym,solar energetic particles,SEPs,1
sibling,government agencies,public safety departments,1
ancestor,FAA,regulatory agencies,1
sibling,numerous studies,military aircraft,1
ancestor,commercial uas operations,beyond visual line of sight,1
ancestor,drone technology,intel corporation,1
synonym,distributed point source method,DPSM,1
ancestor,public agencies,local police departments,1
synonym,remote piloted air system,RPAS,1
synonym,artificial intelligence technology,AIT,1
synonym,multi objective particle swarm optimizer,MOPSO,1
synonym,RPV,remotely piloted vehicle,1
synonym,RTK,real time kinematic,1
synonym,non commissioned officer,NCO,1
synonym,technical analysis applications center,TAAC,1
synonym,lightning locating system,LLS,1
synonym,unmanned aerial,UAV,1
synonym,aviation weather,faa handbooks series,1
synonym,development agreement,CRDA,1
synonym,sensor web enablement,SWE,1
synonym,universal mission simulator,UMS,1
synonym,unmanned combat aerial vehicles,UCAVS,1
synonym,singapore management university,SMU,1
synonym,UAVs,RPAS,1
synonym,extreme value theory,EVT,1
synonym,modern air combat environment,MACE,1
sibling,GPS,glonass satellite,1
synonym,software development kits,SDKs,1
synonym,simple queue service,SQS,1
sibling,stack traces,default attributes,1
sibling,scaled agile,agile project,1
sibling,rapid reaction,pre planned,1
synonym,switch integration device,SID,1
synonym,english free english free english free,GPL,1
sibling,simon brown,eoin woods,1
synonym,aeronautical information services,AIS,1
synonym,reno air racing association,RARA,1
synonym,command line interface,CLI,1
ancestor,safety oversight,gao identified,1
synonym,time of arrival,TOA,1
synonym,division of forestry,DOF,1
synonym,UAV,unmanned autonomous vehicles,1
sibling,hand eye coordination,STEM,1
sibling,real estate,motion picture,1
ancestor,drone technology,thermal imaging,1
synonym,uas air traffic management,UTM,1
ancestor,vertical infrastructure,transmission lines,1
synonym,offshore precipitation capability,OPC,1
sibling,news feeds,extended presence,1
synonym,automated export system,AES,1
synonym,transportation worker identification credentials,TWIC*,1
synonym,low wind speed turbine,LWST,1
synonym,oracle real application clusters,oracle rac,1
synonym,unique device identification,UDI,1
synonym,dallas fort worth international airport,DFW,1
synonym,modem hardware abstraction layer,MHAL,1
synonym,federal aviation administration,FAR,1
synonym,steady state,high speed,1
synonym,aviation medical examiners,AMEs,1
synonym,HOME,US,1
synonym,task process library,TPL,1
synonym,county warning area,CWA,1
synonym,nasa faa research transition,RTT,1
synonym,qatar emiri air force,QEAF,1
sibling,power supplies,solid state,1
sibling,WARNING,soa infra,1
ancestor,mission scenarios,search and rescue,1
sibling,LIDAR,thermal imaging cameras,1
synonym,counter clockwise,CCW,1
sibling,air traffic control,emergency services,1
sibling,unit testing,regression testing,1
synonym,north american,NOAM,1
synonym,common management information protocol,CMIP,1
synonym,contract line item,CLIN,1
ancestor,swarming behaviors,adaptive formation flying,1
ancestor,internet protocols,URI,1
synonym,US,CONUS,1
ancestor,interested parties,lead applicants,1
synonym,relational overlap,RO,1
sibling,auto subscribe,filtered notifications,1
sibling,CI,LI,1
synonym,axis aligned bounding box,AABB,1
sibling,CAVs,TaaS,1
ancestor,small uavs,airborne platforms,1
synonym,bulk current injection,BCI,1
synonym,rear area security,RAS,1
synonym,electronic health record,EHR,1
ancestor,densely populated areas,sporting events,1
synonym,mobile datacom corporation,MDC,1
sibling,ITAR,EAR,1
synonym,vehicle systems program,VSP,1
synonym,source capture,SCB,1
synonym,mean opinion score,MOS,1
ancestor,powerful brands,cessna aircraft company,1
synonym,flat field correction,FFC,1
synonym,aviator decision making,ADM,1
synonym,urban land institute,ULI,1
sibling,applied research,early stage,1
sibling,secure boot,ARM,1
synonym,almost ready to fly,ARF,1
ancestor,fine grained mafic,chilled margins,1
sibling,RGB,visible light,1
synonym,research laboratory,AFRL,1
sibling,layered mafic intrusion,platinum group element,1
synonym,microscopic imager,MI,1
synonym,DARPA,defense advanced research projects agency,1
sibling,xiaomi mi drone 1080p,xiaomi mi drone 4k,1
synonym,PWM,white wire,1
synonym,exercise treadmill testing,ETT,1
synonym,advanced message queuing protocol,AMQP,1
sibling,search and rescue,military training,1
ancestor,video analytics,number plate recognition,1
synonym,acceptance test driven development,ATDD,1
synonym,fixed satellite service,FSS,1
ancestor,small unmanned aircraft,newly purchased,1
synonym,time domain reflectometry,TDR,1
ancestor,intelligent return,intelligent flight mode,1
sibling,national disaster,civil defense,1
sibling,OSHA,ADA,1
synonym,advanced mission management system,AMMS,1
synonym,new caledonia,NC,1
synonym,department of energy,US,1
sibling,package delivery,emergency management,1
ancestor,autonomous functions,return home,1
sibling,thermal imaging,facial recognition software,1
sibling,ground based,aerial systems,1
ancestor,natural hazards,forest fires,1
sibling,utility coordination,construction phase,1
synonym,DRL,drone racing league,1
sibling,blm afs,DOF,1
ancestor,airspace management,geo fencing,1
synonym,national security bureau,NSB,1
ancestor,defense contractors,northrop grumman,1
sibling,radio communications,airspace classification,1
synonym,municipal waste cornbustor,MWC,1
synonym,radio resource control,RRC,1
synonym,gift card,"$4,600",1
synonym,code project open license,CPOL,1
ancestor,al qaeda,extremist groups,1
sibling,precision agriculture,aerial imagery,1
ancestor,general aviation aircraft,crop dusters,1
synonym,counterterrorism center,NCTC,1
synonym,line lightning protection device,LLPD,1
synonym,virtual data centers,VDC,1
synonym,critical speed,CS,1
synonym,text element identifiers,TEIs,1
ancestor,web frameworks,ASP.net,1
synonym,message queuing telemetry transport,MQTT,1
synonym,unique identification number,UID,1
synonym,rashtriya krishi vikas yojana,RKVY,1
synonym,traffic management coordinators,TMCs,1
synonym,remote automated weather station,RAWS,1
synonym,deployable flight incident recorder set,DFIRS,1
sibling,tall buildings,antenna towers,1
sibling,DAS,ESM,1
synonym,IVR,interactive voice response,1
synonym,launch services program,LSP,1
synonym,accounting interaction center,AIC,1
ancestor,resource intensive,scientific computing,1
synonym,DR,data recovery,1
sibling,parrot ar,DJI,1
synonym,functional assessment services,FAS,1
synonym,south florida water management district,SFWMD,1
synonym,international security expo,ISE,1
synonym,volume shadow services,VSS,1
synonym,digital toolkit,PDF,1
synonym,end users,$Million,1
sibling,NASA,ONERA,1
synonym,performance data source,PDS,1
ancestor,advanced technology,laser scanners,1
synonym,major combat operations,MCO,1
synonym,roman magmatic province,RMP,1
synonym,bay area,CA,1
synonym,south african civil aviation authority,SACAA,1
synonym,OSS,open source software,1
sibling,wind speeds,water levels,1
sibling,HTML,JSON,1
sibling,mavic pro,phantom series,1
synonym,risk assessment,SORA,1
synonym,flight operational quality assurance,FOQA,1
sibling,web browsers,smart devices,1
sibling,acm digital library,google scholar,1
synonym,micro control unit,MCU,1
synonym,science degree,AAS,1
sibling,restricted airspace,adverse weather,1
sibling,cross site scripting,sql injection,1
ancestor,power sources,piston engines,1
ancestor,UAV,gainesville based,1
synonym,synthetic imaging maneuver optimization,SIMO,1
ancestor,flue gas,subbituminous coal,1
synonym,deployment readiness review,DRR,1
synonym,post mortem analysis,PMA,1
synonym,capillary blood gas,CBG,1
synonym,SA,SCOPE,1
sibling,hyperspectral imagery,high definition,1
synonym,EMTP,electromagnetic transients program,1
synonym,autonomous collision avoidance system,ACAS,1
sibling,position hold,altitude hold,1
ancestor,resource intensive,multimedia editing,1
synonym,UAS,unmanned air systems,1
synonym,robotic technology incorporated,RTI,1
synonym,"4,500 meters","15,000 feet",1
sibling,traffic hotspots,accident prone,1
synonym,don leroi,AIS,1
synonym,reinforcement learning,RL,1
ancestor,thermal imaging,FLIR,1
ancestor,major credit cards,GSA,1
synonym,public switched telephone network,PSTN,1
synonym,high performance embedded computing,HPEC,1
synonym,north cascades smokejumper base,NCSB,1
ancestor,camera drone,flight safety,1
sibling,attitude determination,multi sensor fusion,1
synonym,building information management,BIM,1
synonym,high altitude airships,HAA,1
sibling,law enforcement,search and rescue,1
sibling,water depth,vegetation cover,1
synonym,unmanned surface vessels,USV,1
ancestor,geo referencing,telemetry data,1
synonym,annealed particle filter,APF,1
synonym,southern california,USC,1
synonym,multi aircraft control system,MACS,1
synonym,visual soil assessment,VSA,1
sibling,mobile phones,electric cars,1
synonym,multicast listener discovery,MLD,1
sibling,flight delays,en route,1
synonym,port management information system,PMIS,1
synonym,northrop grumman,NOC,1
synonym,terminal high altitude area defense,THAAD,1
ancestor,flight controllers,PX4,1
sibling,emergency management,human transportation,1
synonym,asia pacific network,APN,1
ancestor,file types,HTML,1
sibling,single user,multi user,1
synonym,american foulbrood,AFB,1
ancestor,computational intelligence,fuzzy logic,1
synonym,pulsed electric fields,PEF,1
synonym,relational database service,RDS,1
sibling,mobile internet,cloud based hosting,1
synonym,near rectilinear halo orbit,NRHO,1
synonym,uninterruptible power supply,UPS,1
synonym,pro aerial league,PAL,1
synonym,engineering model,EM,1
synonym,resource interchange file format,RIFF,1
synonym,joint aviation authority,JAA,1
synonym,direct memory access,DMA,1
synonym,MHz,UAT,1
synonym,national aviation safety strategic plan,NASSP,1
ancestor,significant benefits,package delivery,1
sibling,response codes,URLs,1
ancestor,microsoft products,visual studio,1
sibling,setting headers,status code,1
sibling,asset inspection,data management,1
synonym,advanced encryption standard,AES,1
synonym,call for release,CFR,1
synonym,infrared relative localization project,IRLP,1
synonym,integrated circuit,IC,1
synonym,application programming interfaces,APIs,1
synonym,amazon simple storage service,amazon s3,1
synonym,frequently asked questions,FAQ,1
sibling,competing consumers,publish subscribe channel,1
synonym,cape verde,CV,1
synonym,exchange traded commodities,ETCs,1
synonym,small tactical unmanned aircraft systems,STUAS,1
sibling,project management,software development,1
sibling,PCB,INA169,1
sibling,LCD,magnesium alloy,1
synonym,international standard organization,ISO,1
synonym,enterprise service management,ESM,1
synonym,accelerated delivery platform,ADP,1
synonym,sized particles,particle swarms,1
synonym,non intrusive pilot identification program,NIPIP,1
synonym,machine catalogs,MC,1
synonym,remote manipulator system,RMS,1
ancestor,valuable insights,georeferenced orthomosaics,1
ancestor,user processes,kernel subsystems,1
sibling,auto takeoff,auto return home,1
ancestor,safety program,AMA,1
ancestor,inspect pipelines,gas facilities,1
synonym,san marino,SM,1
synonym,hypermedia information system,HIS,1
synonym,SIM,site information modeling,1
synonym,panoramic cockpit display,PCD,1
synonym,spread spectrum radio,SSR,1
synonym,solar power,bbc news,1
sibling,software engineering,computer science,1
synonym,flight data center,FDC,1
synonym,downward facing cameras,M210,1
sibling,signal integrity,EMI,1
ancestor,unauthorised drone activity,airspace incursions,1
synonym,SARPs,standards and recommended practices,1
sibling,police departments,public universities,1
ancestor,smartphone apps,electronic media,1
synonym,almost ready to fly,ARTF,1
synonym,auxiliary power units,APUs,1
ancestor,flow control,circulation control,1
synonym,application programmatic interfaces,APIs,1
synonym,faa certified flight instructors,CFI,1
sibling,super smooth video,video game controller,1
synonym,advanced aircraft analysis,AAA,1
synonym,open societies foundation,OSF,1
synonym,solid rocket motors,SRM,1
synonym,lightning induced volcanic spherules,LIVS,1
synonym,mission management system,MMS,1
synonym,korea meteorological administration,KMA,1
synonym,long term support,LTS,1
ancestor,higher education,research organizations,1
synonym,long endurance,HALE,1
synonym,vehicle and dismount exploitation radar,VADER,1
ancestor,REF,partnered organizations,1
synonym,international revenue share fraud,IRSF,1
synonym,architecture description languages,ADLs,1
synonym,adiabatic demagnetization refrigerator,ADR,1
ancestor,free shipping,international orders,1
synonym,arrival time difference,ATD,1
ancestor,higher priced,dji spark,1
synonym,main controller,MC,1
synonym,BPEL,business process execution language,1
synonym,equatorial electric field,EEF,1
synonym,small diameter bombs,SDBs,1
synonym,command augmentation system,CAS,1
synonym,guided bomb unit,GBU,1
synonym,hazardous weather testbed,HWT,1
synonym,allocation unit,AU,1
ancestor,modern warfare,electronic warfare,1
synonym,direct linear transformation,DLT,1
synonym,single integrated operational plan,SIOP,1
synonym,attempted leader,AL,1
synonym,information system,IS,1
ancestor,network infrastructure,dns servers,1
synonym,IP,initial production,1
synonym,drone racing association malaysia,DRAM,1
synonym,air safety support international,ASSI,1
sibling,marine resources,search and rescue,1
synonym,automation modernization,ERAM,1
synonym,loss of control,LOC,1
ancestor,aeronautical information management,air transport,1
synonym,citrix diagnostic facility,CDF,1
synonym,satellite digital audio radio service,SDARS,1
synonym,adaptive security appliances,ASA,1
sibling,dual battery,IP43,1
synonym,hawk ground control station,GCS,1
synonym,subject matter experts,SME,1
synonym,global navigation satellite system,GLONASS,1
synonym,private communication services,PCS,1
synonym,short message,SMS,1
synonym,lightsquared ancillary terrestrial component,ATCt,1
